TxnDate,TransactionID,AccountNumber,AccountName,Debit,Credit,Currency,PeriodEnd,Description
2020-12-31,JE2020_1,1100,Trade and Other Receivables,4800000000.0,0.0,USD,2020-12-31,
2020-12-31,JE2020_1,4000,Revenues,0.0,4800000000.0,USD,2020-12-31,
2020-12-31,JE2020_2,2000,Accounts Payable,0.0,2688000000.0,USD,2020-12-31,
2020-12-31,JE2020_2,5000,Cost of Goods Sold,2688000000.0,0.0,USD,2020-12-31,
2020-12-31,JE2020_3,2000,Accounts Payable,0.0,240000000.0,USD,2020-12-31,
2020-12-31,JE2020_3,5100,Distribution Expenses,240000000.0,0.0,USD,2020-12-31,
2020-12-31,JE2020_4,2000,Accounts Payable,0.0,768000000.0,USD,2020-12-31,
2020-12-31,JE2020_4,5200,Marketing and Administration,768000000.0,0.0,USD,2020-12-31,
2020-12-31,JE2020_5,2000,Accounts Payable,0.0,144000000.0,USD,2020-12-31,
2020-12-31,JE2020_5,5300,Research and Development,144000000.0,0.0,USD,2020-12-31,
2020-12-31,JE2020_6,2000,Accounts Payable,0.0,110000000.0,USD,2020-12-31,
2020-12-31,JE2020_6,6000,Interest Expense,110000000.0,0.0,USD,2020-12-31,
2020-12-31,JE2020_7,1590,Accumulated Depreciation,0.0,280000000.0,USD,2020-12-31,
2020-12-31,JE2020_7,5350,Depreciation Expense,280000000.0,0.0,USD,2020-12-31,
2020-12-31,JE2020_8,1000,Cash,0.0,131670000.0,USD,2020-12-31,
2020-12-31,JE2020_8,3100,Retained Earnings,131670000.0,0.0,USD,2020-12-31,
2020-12-31,TAX-2020-6dd69e86,2250,Income Taxes Payable,0.0,131100000.0,,,Provision for income taxes 2020 (offset)
2020-12-31,TAX-2020-6dd69e86,6500,Income Tax Expense,131100000.0,0.0,,,Provision for income taxes 2020
2021-12-31,JE2021_1,1100,Trade and Other Receivables,5040000000.0,0.0,USD,2021-12-31,
2021-12-31,JE2021_1,4000,Revenues,0.0,5040000000.0,USD,2021-12-31,
2021-12-31,JE2021_2,2000,Accounts Payable,0.0,2822400000.0,USD,2021-12-31,
2021-12-31,JE2021_2,5000,Cost of Goods Sold,2822400000.0,0.0,USD,2021-12-31,
2021-12-31,JE2021_3,2000,Accounts Payable,0.0,252000000.0,USD,2021-12-31,
2021-12-31,JE2021_3,5100,Distribution Expenses,252000000.0,0.0,USD,2021-12-31,
2021-12-31,JE2021_4,2000,Accounts Payable,0.0,806400000.0,USD,2021-12-31,
2021-12-31,JE2021_4,5200,Marketing and Administration,806400000.0,0.0,USD,2021-12-31,
2021-12-31,JE2021_5,2000,Accounts Payable,0.0,151200000.0,USD,2021-12-31,
2021-12-31,JE2021_5,5300,Research and Development,151200000.0,0.0,USD,2021-12-31,
2021-12-31,JE2021_6,2000,Accounts Payable,0.0,108900000.0,USD,2021-12-31,
2021-12-31,JE2021_6,6000,Interest Expense,108900000.0,0.0,USD,2021-12-31,
2021-12-31,JE2021_7,1590,Accumulated Depreciation,0.0,285600000.0,USD,2021-12-31,
2021-12-31,JE2021_7,5350,Depreciation Expense,285600000.0,0.0,USD,2021-12-31,
2021-12-31,JE2021_8,1000,Cash,0.0,141718500.0,USD,2021-12-31,
2021-12-31,JE2021_8,3100,Retained Earnings,141718500.0,0.0,USD,2021-12-31,
2021-12-31,TAX-2021-e188adc7,2250,Income Taxes Payable,0.0,141105000.0,,,Provision for income taxes 2021 (offset)
2021-12-31,TAX-2021-e188adc7,6500,Income Tax Expense,141105000.0,0.0,,,Provision for income taxes 2021
2022-12-31,JE2022_1,1100,Trade and Other Receivables,5280000000.0,0.0,USD,2022-12-31,
2022-12-31,JE2022_1,4000,Revenues,0.0,5280000000.0,USD,2022-12-31,
2022-12-31,JE2022_2,2000,Accounts Payable,0.0,2956800000.0,USD,2022-12-31,
2022-12-31,JE2022_2,5000,Cost of Goods Sold,2956800000.0,0.0,USD,2022-12-31,
2022-12-31,JE2022_3,2000,Accounts Payable,0.0,264000000.0,USD,2022-12-31,
2022-12-31,JE2022_3,5100,Distribution Expenses,264000000.0,0.0,USD,2022-12-31,
2022-12-31,JE2022_4,2000,Accounts Payable,0.0,844800000.0,USD,2022-12-31,
2022-12-31,JE2022_4,5200,Marketing and Administration,844800000.0,0.0,USD,2022-12-31,
2022-12-31,JE2022_5,2000,Accounts Payable,0.0,158400000.0,USD,2022-12-31,
2022-12-31,JE2022_5,5300,Research and Development,158400000.0,0.0,USD,2022-12-31,
2022-12-31,JE2022_6,2000,Accounts Payable,0.0,107800000.0,USD,2022-12-31,
2022-12-31,JE2022_6,6000,Interest Expense,107800000.0,0.0,USD,2022-12-31,
2022-12-31,JE2022_7,1590,Accumulated Depreciation,0.0,291200000.0,USD,2022-12-31,
2022-12-31,JE2022_7,5350,Depreciation Expense,291200000.0,0.0,USD,2022-12-31,
2022-12-31,JE2022_8,1000,Cash,0.0,151767000.0,USD,2022-12-31,
2022-12-31,JE2022_8,3100,Retained Earnings,151767000.0,0.0,USD,2022-12-31,
2022-12-31,TAX-2022-34e2d942,2250,Income Taxes Payable,0.0,151110000.0,,,Provision for income taxes 2022 (offset)
2022-12-31,TAX-2022-34e2d942,6500,Income Tax Expense,151110000.0,0.0,,,Provision for income taxes 2022
