TxnDate,AccountNumber,AccountName,Debit,Credit,Currency,PeriodEnd,Description
2021-12-31,1000,Cash,0.0,68376000.0,USD,2021-12-31,
2021-12-31,1100,Trade and Other Receivables,4900000000.0,0.0,USD,2021-12-31,
2021-12-31,1590,Accumulated Depreciation,0.0,280000000.0,USD,2021-12-31,
2021-12-31,2000,Accounts Payable,0.0,3038000000.0,USD,2021-12-31,
2021-12-31,2000,Accounts Payable,0.0,245000000.0,USD,2021-12-31,
2021-12-31,2000,Accounts Payable,0.0,784000000.0,USD,2021-12-31,
2021-12-31,2000,Accounts Payable,0.0,147000000.0,USD,2021-12-31,
2021-12-31,2000,Accounts Payable,0.0,110000000.0,USD,2021-12-31,
2021-12-31,2250,Income Taxes Payable,0.0,68080000.0,,,Provision for income taxes 2021 (offset)
2021-12-31,3100,Retained Earnings,68376000.0,0.0,USD,2021-12-31,
2021-12-31,4000,Revenues,0.0,4900000000.0,USD,2021-12-31,
2021-12-31,5000,Cost of Goods Sold,3038000000.0,0.0,USD,2021-12-31,
2021-12-31,5100,Distribution Expenses,245000000.0,0.0,USD,2021-12-31,
2021-12-31,5200,Marketing and Administration,784000000.0,0.0,USD,2021-12-31,
2021-12-31,5300,Research and Development,147000000.0,0.0,USD,2021-12-31,
2021-12-31,5350,Depreciation Expense,280000000.0,0.0,USD,2021-12-31,
2021-12-31,6000,Interest Expense,110000000.0,0.0,USD,2021-12-31,
2021-12-31,6500,Income Tax Expense,68080000.0,0.0,,,Provision for income taxes 2021
2022-12-31,1000,Cash,0.0,75259800.0,USD,2022-12-31,
2022-12-31,1100,Trade and Other Receivables,5145000000.0,0.0,USD,2022-12-31,
2022-12-31,1590,Accumulated Depreciation,0.0,285600000.0,USD,2022-12-31,
2022-12-31,2000,Accounts Payable,0.0,3189900000.0,USD,2022-12-31,
2022-12-31,2000,Accounts Payable,0.0,257250000.0,USD,2022-12-31,
2022-12-31,2000,Accounts Payable,0.0,823200000.0,USD,2022-12-31,
2022-12-31,2000,Accounts Payable,0.0,154350000.0,USD,2022-12-31,
2022-12-31,2000,Accounts Payable,0.0,108900000.0,USD,2022-12-31,
2022-12-31,2250,Income Taxes Payable,0.0,74934000.0,,,Provision for income taxes 2022 (offset)
2022-12-31,3100,Retained Earnings,75259800.0,0.0,USD,2022-12-31,
2022-12-31,4000,Revenues,0.0,5145000000.0,USD,2022-12-31,
2022-12-31,5000,Cost of Goods Sold,3189900000.0,0.0,USD,2022-12-31,
2022-12-31,5100,Distribution Expenses,257250000.0,0.0,USD,2022-12-31,
2022-12-31,5200,Marketing and Administration,823200000.0,0.0,USD,2022-12-31,
2022-12-31,5300,Research and Development,154350000.0,0.0,USD,2022-12-31,
2022-12-31,5350,Depreciation Expense,285600000.0,0.0,USD,2022-12-31,
2022-12-31,6000,Interest Expense,108900000.0,0.0,USD,2022-12-31,
2022-12-31,6500,Income Tax Expense,74934000.0,0.0,,,Provision for income taxes 2022
2023-12-31,1000,Cash,0.0,82143600.0,USD,2023-12-31,
2023-12-31,1100,Trade and Other Receivables,5390000000.0,0.0,USD,2023-12-31,
2023-12-31,1590,Accumulated Depreciation,0.0,291200000.0,USD,2023-12-31,
2023-12-31,2000,Accounts Payable,0.0,3341800000.0,USD,2023-12-31,
2023-12-31,2000,Accounts Payable,0.0,269500000.0,USD,2023-12-31,
2023-12-31,2000,Accounts Payable,0.0,862400000.0,USD,2023-12-31,
2023-12-31,2000,Accounts Payable,0.0,161700000.0,USD,2023-12-31,
2023-12-31,2000,Accounts Payable,0.0,107800000.0,USD,2023-12-31,
2023-12-31,2250,Income Taxes Payable,0.0,81788000.0,,,Provision for income taxes 2023 (offset)
2023-12-31,3100,Retained Earnings,82143600.0,0.0,USD,2023-12-31,
2023-12-31,4000,Revenues,0.0,5390000000.0,USD,2023-12-31,
2023-12-31,5000,Cost of Goods Sold,3341800000.0,0.0,USD,2023-12-31,
2023-12-31,5100,Distribution Expenses,269500000.0,0.0,USD,2023-12-31,
2023-12-31,5200,Marketing and Administration,862400000.0,0.0,USD,2023-12-31,
2023-12-31,5300,Research and Development,161700000.0,0.0,USD,2023-12-31,
2023-12-31,5350,Depreciation Expense,291200000.0,0.0,USD,2023-12-31,
2023-12-31,6000,Interest Expense,107800000.0,0.0,USD,2023-12-31,
2023-12-31,6500,Income Tax Expense,81788000.0,0.0,,,Provision for income taxes 2023
