TxnDate,TransactionID,AccountNumber,AccountName,Debit,Credit,Currency,PeriodEnd,Description
2024-12-31,JE2024_1,1100,Trade and Other Receivables,5200000000.0,0.0,USD,2024-12-31,
2024-12-31,JE2024_1,4000,Revenues,0.0,5200000000.0,USD,2024-12-31,
2024-12-31,JE2024_2,2000,Accounts Payable,0.0,2912000000.0,USD,2024-12-31,
2024-12-31,JE2024_2,5000,Cost of Goods Sold,2912000000.0,0.0,USD,2024-12-31,
2024-12-31,JE2024_3,2000,Accounts Payable,0.0,260000000.0,USD,2024-12-31,
2024-12-31,JE2024_3,5100,Distribution Expenses,260000000.0,0.0,USD,2024-12-31,
2024-12-31,JE2024_4,2000,Accounts Payable,0.0,832000000.0,USD,2024-12-31,
2024-12-31,JE2024_4,5200,Marketing and Administration,832000000.0,0.0,USD,2024-12-31,
2024-12-31,JE2024_5,2000,Accounts Payable,0.0,156000000.0,USD,2024-12-31,
2024-12-31,JE2024_5,5300,Research and Development,156000000.0,0.0,USD,2024-12-31,
2024-12-31,JE2024_6,2000,Accounts Payable,0.0,110000000.0,USD,2024-12-31,
2024-12-31,JE2024_6,6000,Interest Expense,110000000.0,0.0,USD,2024-12-31,
2024-12-31,JE2024_7,1590,Accumulated Depreciation,0.0,320000000.0,USD,2024-12-31,
2024-12-31,JE2024_7,5350,Depreciation Expense,320000000.0,0.0,USD,2024-12-31,
2024-12-31,JE2024_8,1000,Cash,0.0,93940000.0,USD,2024-12-31,
2024-12-31,JE2024_8,3100,Retained Earnings,93940000.0,0.0,USD,2024-12-31,
2024-12-31,TAX-2024-6dd65b88,2250,Income Taxes Payable,0.0,140300000.0,,,Provision for income taxes 2024 (offset)
2024-12-31,TAX-2024-6dd65b88,6500,Income Tax Expense,140300000.0,0.0,,,Provision for income taxes 2024
2025-12-31,JE2025_1,1100,Trade and Other Receivables,5460000000.0,0.0,USD,2025-12-31,
2025-12-31,JE2025_1,4000,Revenues,0.0,5460000000.0,USD,2025-12-31,
2025-12-31,JE2025_2,2000,Accounts Payable,0.0,3057600000.0,USD,2025-12-31,
2025-12-31,JE2025_2,5000,Cost of Goods Sold,3057600000.0,0.0,USD,2025-12-31,
2025-12-31,JE2025_3,2000,Accounts Payable,0.0,273000000.0,USD,2025-12-31,
2025-12-31,JE2025_3,5100,Distribution Expenses,273000000.0,0.0,USD,2025-12-31,
2025-12-31,JE2025_4,2000,Accounts Payable,0.0,873600000.0,USD,2025-12-31,
2025-12-31,JE2025_4,5200,Marketing and Administration,873600000.0,0.0,USD,2025-12-31,
2025-12-31,JE2025_5,2000,Accounts Payable,0.0,163800000.0,USD,2025-12-31,
2025-12-31,JE2025_5,5300,Research and Development,163800000.0,0.0,USD,2025-12-31,
2025-12-31,JE2025_6,2000,Accounts Payable,0.0,108900000.0,USD,2025-12-31,
2025-12-31,JE2025_6,6000,Interest Expense,108900000.0,0.0,USD,2025-12-31,
2025-12-31,JE2025_7,1590,Accumulated Depreciation,0.0,326400000.0,USD,2025-12-31,
2025-12-31,JE2025_7,5350,Depreciation Expense,326400000.0,0.0,USD,2025-12-31,
2025-12-31,JE2025_8,1000,Cash,0.0,101131800.0,USD,2025-12-31,
2025-12-31,JE2025_8,3100,Retained Earnings,101131800.0,0.0,USD,2025-12-31,
2025-12-31,TAX-2025-4d3c959d,2250,Income Taxes Payable,0.0,151041000.0,,,Provision for income taxes 2025 (offset)
2025-12-31,TAX-2025-4d3c959d,6500,Income Tax Expense,151041000.0,0.0,,,Provision for income taxes 2025
2026-12-31,JE2026_1,1100,Trade and Other Receivables,5720000000.0,0.0,USD,2026-12-31,
2026-12-31,JE2026_1,4000,Revenues,0.0,5720000000.0,USD,2026-12-31,
2026-12-31,JE2026_2,2000,Accounts Payable,0.0,3203200000.0,USD,2026-12-31,
2026-12-31,JE2026_2,5000,Cost of Goods Sold,3203200000.0,0.0,USD,2026-12-31,
2026-12-31,JE2026_3,2000,Accounts Payable,0.0,286000000.0,USD,2026-12-31,
2026-12-31,JE2026_3,5100,Distribution Expenses,286000000.0,0.0,USD,2026-12-31,
2026-12-31,JE2026_4,2000,Accounts Payable,0.0,915200000.0,USD,2026-12-31,
2026-12-31,JE2026_4,5200,Marketing and Administration,915200000.0,0.0,USD,2026-12-31,
2026-12-31,JE2026_5,2000,Accounts Payable,0.0,171600000.0,USD,2026-12-31,
2026-12-31,JE2026_5,5300,Research and Development,171600000.0,0.0,USD,2026-12-31,
2026-12-31,JE2026_6,2000,Accounts Payable,0.0,107800000.0,USD,2026-12-31,
2026-12-31,JE2026_6,6000,Interest Expense,107800000.0,0.0,USD,2026-12-31,
2026-12-31,JE2026_7,1590,Accumulated Depreciation,0.0,332800000.0,USD,2026-12-31,
2026-12-31,JE2026_7,5350,Depreciation Expense,332800000.0,0.0,USD,2026-12-31,
2026-12-31,JE2026_8,1000,Cash,0.0,108323600.0,USD,2026-12-31,
2026-12-31,JE2026_8,3100,Retained Earnings,108323600.0,0.0,USD,2026-12-31,
2026-12-31,TAX-2026-ff2d5571,2250,Income Taxes Payable,0.0,161782000.0,,,Provision for income taxes 2026 (offset)
2026-12-31,TAX-2026-ff2d5571,6500,Income Tax Expense,161782000.0,0.0,,,Provision for income taxes 2026
