TxnDate,AccountNumber,AccountName,Debit,Credit,Currency,PeriodEnd
2022-12-31,1100,Trade and Other Receivables,5000000000.0,0.0,USD,2022-12-31
2022-12-31,4000,Revenues,0.0,5000000000.0,USD,2022-12-31
2022-12-31,5000,Cost of Goods Sold,2800000000.0,0.0,USD,2022-12-31
2022-12-31,2000,Accounts Payable,0.0,2800000000.0,USD,2022-12-31
2022-12-31,5100,Distribution Expenses,250000000.0,0.0,USD,2022-12-31
2022-12-31,2000,Accounts Payable,0.0,250000000.0,USD,2022-12-31
2022-12-31,5200,Marketing and Administration,1000000000.0,0.0,USD,2022-12-31
2022-12-31,2000,Accounts Payable,0.0,1000000000.0,USD,2022-12-31
2022-12-31,5300,Research and Development,150000000.0,0.0,USD,2022-12-31
2022-12-31,2000,Accounts Payable,0.0,150000000.0,USD,2022-12-31
2022-12-31,6000,Interest Expense,110000000.0,0.0,USD,2022-12-31
2022-12-31,2000,Accounts Payable,0.0,110000000.0,USD,2022-12-31
2022-12-31,5350,Depreciation Expense,280000000.0,0.0,USD,2022-12-31
2022-12-31,1590,Accumulated Depreciation,0.0,280000000.0,USD,2022-12-31
2022-12-31,3100,Retained Earnings,94710000.0,0.0,USD,2022-12-31
2022-12-31,1000,Cash,0.0,94710000.0,USD,2022-12-31
2023-12-31,1100,Trade and Other Receivables,5250000000.0,0.0,USD,2023-12-31
2023-12-31,4000,Revenues,0.0,5250000000.0,USD,2023-12-31
2023-12-31,5000,Cost of Goods Sold,2940000000.0,0.0,USD,2023-12-31
2023-12-31,2000,Accounts Payable,0.0,2940000000.0,USD,2023-12-31
2023-12-31,5100,Distribution Expenses,262500000.0,0.0,USD,2023-12-31
2023-12-31,2000,Accounts Payable,0.0,262500000.0,USD,2023-12-31
2023-12-31,5200,Marketing and Administration,1050000000.0,0.0,USD,2023-12-31
2023-12-31,2000,Accounts Payable,0.0,1050000000.0,USD,2023-12-31
2023-12-31,5300,Research and Development,157500000.0,0.0,USD,2023-12-31
2023-12-31,2000,Accounts Payable,0.0,157500000.0,USD,2023-12-31
2023-12-31,6000,Interest Expense,108900000.0,0.0,USD,2023-12-31
2023-12-31,2000,Accounts Payable,0.0,108900000.0,USD,2023-12-31
2023-12-31,5350,Depreciation Expense,285600000.0,0.0,USD,2023-12-31
2023-12-31,1590,Accumulated Depreciation,0.0,285600000.0,USD,2023-12-31
2023-12-31,3100,Retained Earnings,102910500.0,0.0,USD,2023-12-31
2023-12-31,1000,Cash,0.0,102910500.0,USD,2023-12-31
2024-12-31,1100,Trade and Other Receivables,5500000000.0,0.0,USD,2024-12-31
2024-12-31,4000,Revenues,0.0,5500000000.0,USD,2024-12-31
2024-12-31,5000,Cost of Goods Sold,3080000000.0,0.0,USD,2024-12-31
2024-12-31,2000,Accounts Payable,0.0,3080000000.0,USD,2024-12-31
2024-12-31,5100,Distribution Expenses,275000000.0,0.0,USD,2024-12-31
2024-12-31,2000,Accounts Payable,0.0,275000000.0,USD,2024-12-31
2024-12-31,5200,Marketing and Administration,1100000000.0,0.0,USD,2024-12-31
2024-12-31,2000,Accounts Payable,0.0,1100000000.0,USD,2024-12-31
2024-12-31,5300,Research and Development,165000000.0,0.0,USD,2024-12-31
2024-12-31,2000,Accounts Payable,0.0,165000000.0,USD,2024-12-31
2024-12-31,6000,Interest Expense,107800000.0,0.0,USD,2024-12-31
2024-12-31,2000,Accounts Payable,0.0,107800000.0,USD,2024-12-31
2024-12-31,5350,Depreciation Expense,291200000.0,0.0,USD,2024-12-31
2024-12-31,1590,Accumulated Depreciation,0.0,291200000.0,USD,2024-12-31
2024-12-31,3100,Retained Earnings,111111000.0,0.0,USD,2024-12-31
2024-12-31,1000,Cash,0.0,111111000.0,USD,2024-12-31
