TxnDate,AccountNumber,AccountName,Debit,Credit,Currency,PeriodEnd
2020-12-31,1100,Trade and Other Receivables,4800000000.0,0.0,USD,2020-12-31
2020-12-31,4000,Revenues,0.0,4800000000.0,USD,2020-12-31
2020-12-31,5000,Cost of Goods Sold,2688000000.0,0.0,USD,2020-12-31
2020-12-31,2000,Accounts Payable,0.0,2688000000.0,USD,2020-12-31
2020-12-31,5100,Distribution Expenses,240000000.0,0.0,USD,2020-12-31
2020-12-31,2000,Accounts Payable,0.0,240000000.0,USD,2020-12-31
2020-12-31,5200,Marketing and Administration,768000000.0,0.0,USD,2020-12-31
2020-12-31,2000,Accounts Payable,0.0,768000000.0,USD,2020-12-31
2020-12-31,5300,Research and Development,144000000.0,0.0,USD,2020-12-31
2020-12-31,2000,Accounts Payable,0.0,144000000.0,USD,2020-12-31
2020-12-31,6000,Interest Expense,110000000.0,0.0,USD,2020-12-31
2020-12-31,2000,Accounts Payable,0.0,110000000.0,USD,2020-12-31
2020-12-31,5350,Depreciation Expense,280000000.0,0.0,USD,2020-12-31
2020-12-31,1590,Accumulated Depreciation,0.0,280000000.0,USD,2020-12-31
2020-12-31,3100,Retained Earnings,131670000.0,0.0,USD,2020-12-31
2020-12-31,1000,Cash,0.0,131670000.0,USD,2020-12-31
2021-12-31,1100,Trade and Other Receivables,5040000000.0,0.0,USD,2021-12-31
2021-12-31,4000,Revenues,0.0,5040000000.0,USD,2021-12-31
2021-12-31,5000,Cost of Goods Sold,2822400000.0,0.0,USD,2021-12-31
2021-12-31,2000,Accounts Payable,0.0,2822400000.0,USD,2021-12-31
2021-12-31,5100,Distribution Expenses,252000000.0,0.0,USD,2021-12-31
2021-12-31,2000,Accounts Payable,0.0,252000000.0,USD,2021-12-31
2021-12-31,5200,Marketing and Administration,806400000.0,0.0,USD,2021-12-31
2021-12-31,2000,Accounts Payable,0.0,806400000.0,USD,2021-12-31
2021-12-31,5300,Research and Development,151200000.0,0.0,USD,2021-12-31
2021-12-31,2000,Accounts Payable,0.0,151200000.0,USD,2021-12-31
2021-12-31,6000,Interest Expense,108900000.0,0.0,USD,2021-12-31
2021-12-31,2000,Accounts Payable,0.0,108900000.0,USD,2021-12-31
2021-12-31,5350,Depreciation Expense,285600000.0,0.0,USD,2021-12-31
2021-12-31,1590,Accumulated Depreciation,0.0,285600000.0,USD,2021-12-31
2021-12-31,3100,Retained Earnings,141718500.0,0.0,USD,2021-12-31
2021-12-31,1000,Cash,0.0,141718500.0,USD,2021-12-31
2022-12-31,1100,Trade and Other Receivables,5280000000.0,0.0,USD,2022-12-31
2022-12-31,4000,Revenues,0.0,5280000000.0,USD,2022-12-31
2022-12-31,5000,Cost of Goods Sold,2956800000.0,0.0,USD,2022-12-31
2022-12-31,2000,Accounts Payable,0.0,2956800000.0,USD,2022-12-31
2022-12-31,5100,Distribution Expenses,264000000.0,0.0,USD,2022-12-31
2022-12-31,2000,Accounts Payable,0.0,264000000.0,USD,2022-12-31
2022-12-31,5200,Marketing and Administration,844800000.0,0.0,USD,2022-12-31
2022-12-31,2000,Accounts Payable,0.0,844800000.0,USD,2022-12-31
2022-12-31,5300,Research and Development,158400000.0,0.0,USD,2022-12-31
2022-12-31,2000,Accounts Payable,0.0,158400000.0,USD,2022-12-31
2022-12-31,6000,Interest Expense,107800000.0,0.0,USD,2022-12-31
2022-12-31,2000,Accounts Payable,0.0,107800000.0,USD,2022-12-31
2022-12-31,5350,Depreciation Expense,291200000.0,0.0,USD,2022-12-31
2022-12-31,1590,Accumulated Depreciation,0.0,291200000.0,USD,2022-12-31
2022-12-31,3100,Retained Earnings,151767000.0,0.0,USD,2022-12-31
2022-12-31,1000,Cash,0.0,151767000.0,USD,2022-12-31
